news_headline,news_article,news_category,full_text,clean_text
Trump's choice for US Ambassador to UN Heather Nauert withdraws,"US President Donald Trump's choice for the country's Ambassador to the UN, Heather Nauert, has withdrawn from consideration for the job for family reasons. ""The past two months have been gruelling for my family,"" she said. Trump had said he would nominate Nauert for the UN position to replace Nikki Haley, who resigned at the end of 2018.",world,"Trump's choice for US Ambassador to UN Heather Nauert withdraws. US President Donald Trump's choice for the country's Ambassador to the UN, Heather Nauert, has withdrawn from consideration for the job for family reasons. ""The past two months have been gruelling for my family,"" she said. Trump had said he would nominate Nauert for the UN position to replace Nikki Haley, who resigned at the end of 2018.","Trumps choice US Ambassador UN Heather Nauert withdraws. US President Donald Trumps choice countrys Ambassador UN , Heather Nauert , withdrawn consideration job family reasons. "" past two months gruelling family , "" said. Trump said would nominate Nauert UN position replace Nikki Haley , resigned end 2018 ."
Japan PM nominated Trump for Nobel Peace Prize on US request: Report,"Japanese Prime Minister Shinzo Abe nominated US President Donald Trump for the Nobel Peace Prize last autumn after receiving a request from the US government to do so, a Japanese newspaper reported. The report follows Trump's claim on Friday that Abe had nominated him for the Nobel Peace Prize for opening talks and easing tensions with North Korea.",world,"Japan PM nominated Trump for Nobel Peace Prize on US request: Report. Japanese Prime Minister Shinzo Abe nominated US President Donald Trump for the Nobel Peace Prize last autumn after receiving a request from the US government to do so, a Japanese newspaper reported. The report follows Trump's claim on Friday that Abe had nominated him for the Nobel Peace Prize for opening talks and easing tensions with North Korea.","Japan PM nominated Trump Nobel Peace Prize US request : Report. Japanese Prime Minister Shinzo Abe nominated US President Donald Trump Nobel Peace Prize last autumn receiving request US government , Japanese newspaper reported. report follows Trumps claim Friday Abe nominated Nobel Peace Prize opening talks easing tensions North Korea ."
Terrorists who killed 27 Iran soldiers backed by Pak: Iran General,"Chief Commander of Iran's Revolutionary Guard Corps Major General Mohammad Ali Jafari has accused Pakistan of supporting the perpetrators of a suicide bombing that killed 27 Iran soldiers earlier this week. ""Pakistan's government has housed these anti-revolutionaries and threats to Islam,"" he said. ""If Pakistan does not punish them, we will retaliate,"" Jafari further said.",world,"Terrorists who killed 27 Iran soldiers backed by Pak: Iran General. Chief Commander of Iran's Revolutionary Guard Corps Major General Mohammad Ali Jafari has accused Pakistan of supporting the perpetrators of a suicide bombing that killed 27 Iran soldiers earlier this week. ""Pakistan's government has housed these anti-revolutionaries and threats to Islam,"" he said. ""If Pakistan does not punish them, we will retaliate,"" Jafari further said.","Terrorists killed 27 Iran soldiers backed Pak : Iran General. Chief Commander Irans Revolutionary Guard Corps Major General Mohammad Ali Jafari accused Pakistan supporting perpetrators suicide bombing killed 27 Iran soldiers earlier week. "" Pakistans government housed anti-revolutionaries threats Islam , "" said. "" Pakistan not punish , retaliate , "" Jafari said ."
Janhvi criticises Pak newspaper calling J&K attack fight for freedom,"Actress Janhvi Kapoor took to Instagram to criticise a Pakistani newspaper, which called Pulwama terror attack a ""fight for freedom"". Sharing the picture of the article titled 'Freedom fighter launches attack, 44 of occupying force killed in IOK', Janhvi wrote, ""It's tragic and irresponsible that...truths of such a condemnable act are being distorted by...media to suit their political agendas."" ",world,"Janhvi criticises Pak newspaper calling J&K attack fight for freedom. Actress Janhvi Kapoor took to Instagram to criticise a Pakistani newspaper, which called Pulwama terror attack a ""fight for freedom"". Sharing the picture of the article titled 'Freedom fighter launches attack, 44 of occupying force killed in IOK', Janhvi wrote, ""It's tragic and irresponsible that...truths of such a condemnable act are being distorted by...media to suit their political agendas."" ","Janhvi criticises Pak newspaper calling J&K attack fight freedom. Actress Janhvi Kapoor took Instagram criticise Pakistani newspaper , called Pulwama terror attack "" fight freedom "" . Sharing picture article titled Freedom fighter launches attack , 44 occupying force killed IOK , Janhvi wrote , "" tragic irresponsible ... truths condemnable act distorted ... media suit political agendas . """
Google Maps reveals location of Taiwan missile sites,"Google's 3D maps has revealed the locations of missile sites in Taiwan, including the types of launchers and models of the missiles. The maps also revealed the location of Taiwan's National Security Bureau and Military Intelligence Bureau. ""The site of defence infrastructure in times of peace does not indicate its location in times of war,"" Taiwan's Defence Minister said. ",world,"Google Maps reveals location of Taiwan missile sites. Google's 3D maps has revealed the locations of missile sites in Taiwan, including the types of launchers and models of the missiles. The maps also revealed the location of Taiwan's National Security Bureau and Military Intelligence Bureau. ""The site of defence infrastructure in times of peace does not indicate its location in times of war,"" Taiwan's Defence Minister said. ","Google Maps reveals location Taiwan missile sites. Googles 3D maps revealed locations missile sites Taiwan , including types launchers models missiles. maps also revealed location Taiwans National Security Bureau Military Intelligence Bureau. "" site defence infrastructure times peace not indicate location times war , "" Taiwans Defence Minister said."
Uber sues New York City over rule limiting number of drivers,"Uber has sued New York City over the August 2018 decision to impose a year-long cap on new driver licences for ride-hailing vehicles. The rule was imposed in a claimed effort to decrease congestion, which the ride-hailing giant alleged is not supported by enough evidence. Uber has also accused Mayor Bill de Blasio of treating the business unfairly.",world,"Uber sues New York City over rule limiting number of drivers. Uber has sued New York City over the August 2018 decision to impose a year-long cap on new driver licences for ride-hailing vehicles. The rule was imposed in a claimed effort to decrease congestion, which the ride-hailing giant alleged is not supported by enough evidence. Uber has also accused Mayor Bill de Blasio of treating the business unfairly.","Uber sues New York City rule limiting number drivers. Uber sued New York City August 2018 decision impose year-long cap new driver licences ride-hailing vehicles. rule imposed claimed effort decrease congestion , ride-hailing giant alleged not supported enough evidence. Uber also accused Mayor Bill de Blasio treating business unfairly ."
Snow turns black in Siberia; residents blame coal plants,"Black snow has covered several towns in the Siberian region of Kuzbass, with residents blaming pollution from the local coal processing plants. One plant official told the local media that a shield meant to prevent coal powder from escaping out of the factory had malfunctioned. Deputy Governor of Kemerovo region also blamed coal boilers, car exhausts and other coal-burning plants.",world,"Snow turns black in Siberia; residents blame coal plants. Black snow has covered several towns in the Siberian region of Kuzbass, with residents blaming pollution from the local coal processing plants. One plant official told the local media that a shield meant to prevent coal powder from escaping out of the factory had malfunctioned. Deputy Governor of Kemerovo region also blamed coal boilers, car exhausts and other coal-burning plants.","Snow turns black Siberia ; residents blame coal plants. Black snow covered several towns Siberian region Kuzbass , residents blaming pollution local coal processing plants. One plant official told local media shield meant prevent coal powder escaping factory malfunctioned. Deputy Governor Kemerovo region also blamed coal boilers , car exhausts coal-burning plants ."
Germany rejects US call to quit Iran nuclear deal,"German Foreign Minister Heiko Maas has rejected the US' appeal to withdraw from the 2015 Iran nuclear deal, saying it's fundamental for security. Adding that the goal of Britain, France, Germany and EU is an ""Iran without nuclear weapons"", Maas said without the deal, ""the region will not be safer and would be one step closer to an open confrontation"".",world,"Germany rejects US call to quit Iran nuclear deal. German Foreign Minister Heiko Maas has rejected the US' appeal to withdraw from the 2015 Iran nuclear deal, saying it's fundamental for security. Adding that the goal of Britain, France, Germany and EU is an ""Iran without nuclear weapons"", Maas said without the deal, ""the region will not be safer and would be one step closer to an open confrontation"".","Germany rejects US call quit Iran nuclear deal. German Foreign Minister Heiko Maas rejected US appeal withdraw 2015 Iran nuclear deal , saying fundamental security. Adding goal Britain , France , Germany EU "" Iran without nuclear weapons "" , Maas said without deal , "" region not safer would one step closer open confrontation "" ."
Ex-US cardinal removed from priesthood over sex abuse,Former US Cardinal Theodore McCarrick has been removed from the priesthood after the Vatican found him guilty of sexually abusing minors as well as adults several years ago. He was also found guilty of soliciting sex while hearing confession. The Vatican's move makes McCarrick the most senior figure to be removed from the priesthood in modern times.,world,Ex-US cardinal removed from priesthood over sex abuse. Former US Cardinal Theodore McCarrick has been removed from the priesthood after the Vatican found him guilty of sexually abusing minors as well as adults several years ago. He was also found guilty of soliciting sex while hearing confession. The Vatican's move makes McCarrick the most senior figure to be removed from the priesthood in modern times.,Ex-US cardinal removed priesthood sex abuse. Former US Cardinal Theodore McCarrick removed priesthood Vatican found guilty sexually abusing minors well adults several years ago. also found guilty soliciting sex hearing confession. Vaticans move makes McCarrick senior figure removed priesthood modern times .
UK's weapons sales to Saudi Arabia unlawful: Lords committee,"The UK's weapons sales to Saudi Arabia ""narrowly"" violate international humanitarian law and are highly likely to be the cause of the significant civilian casualties in Yemen's civil war, a Lords committee said. The UK ""should condemn any further violations of international humanitarian law by the Saudi-led coalition, including the blocking of food and medical supplies"", the committee added. ",world,"UK's weapons sales to Saudi Arabia unlawful: Lords committee. The UK's weapons sales to Saudi Arabia ""narrowly"" violate international humanitarian law and are highly likely to be the cause of the significant civilian casualties in Yemen's civil war, a Lords committee said. The UK ""should condemn any further violations of international humanitarian law by the Saudi-led coalition, including the blocking of food and medical supplies"", the committee added. ","UKs weapons sales Saudi Arabia unlawful : Lords committee. UKs weapons sales Saudi Arabia "" narrowly "" violate international humanitarian law highly likely cause significant civilian casualties Yemens civil war , Lords committee said. UK "" condemn violations international humanitarian law Saudi-led coalition , including blocking food medical supplies "" , committee added."
Kim to arrive in Vietnam on Feb 25 ahead of Trump summit: Report,"North Korean leader Kim Jong-un will arrive in Vietnam on February 25 ahead of a planned second summit with US President Donald Trump, according to a Reuters report. Trump and Kim are due to meet in Hanoi on February 27 and 28. The US said it aims to get as far down the road as it can at the summit.",world,"Kim to arrive in Vietnam on Feb 25 ahead of Trump summit: Report. North Korean leader Kim Jong-un will arrive in Vietnam on February 25 ahead of a planned second summit with US President Donald Trump, according to a Reuters report. Trump and Kim are due to meet in Hanoi on February 27 and 28. The US said it aims to get as far down the road as it can at the summit.","Kim arrive Vietnam Feb 25 ahead Trump summit : Report. North Korean leader Kim Jong-un arrive Vietnam February 25 ahead planned second summit US President Donald Trump , according Reuters report. Trump Kim due meet Hanoi February 27 28. US said aims get far road summit ."
France schools to replace 'mother & father' with 'parent 1 & 2',Schools in France are set to replace the words 'mother' and 'father' with 'parent 1' and 'parent 2' on the administrative forms under an amendment to a law passed earlier this week. The move is aimed at ending discrimination against same-sex parents. The amendment also makes attendance compulsory for all three-year-olds.,world,France schools to replace 'mother & father' with 'parent 1 & 2'. Schools in France are set to replace the words 'mother' and 'father' with 'parent 1' and 'parent 2' on the administrative forms under an amendment to a law passed earlier this week. The move is aimed at ending discrimination against same-sex parents. The amendment also makes attendance compulsory for all three-year-olds.,France schools replace mother &amp; father parent 1 &amp; 2. Schools France set replace words mother father parent 1 parent 2 administrative forms amendment law passed earlier week. move aimed ending discrimination same-sex parents. amendment also makes attendance compulsory three-year-olds .
